c9,c9,i2,r4
Dhaval,Biliris,1990,2.21
Jaimin,Lamping,1989,1.67
Vipul,Biliris,1989,2.77
Vipul,Singh,1995,1.76
Harpreet,Singh,1965,2.77
Kanna,Lamping,2000,1.87
Vipul,Singh,1995,2.54
Orestis,Biliris,2000,1.78
Andrew,Singh,1902,2.54
Alex,Chhabria,1992,1.78
Ashish,Singh,1990,1.67
Alex,Polychroniou,1992,1.67
Ashish,Chhabria,1992,1.76
Orestis,Biliris,2012,1.67
Orestis,Chhabria,1995,2.54
Alex,Biliris,1992,2.54
Jaimin,Singh,1995,2.54
Sandeep,Singh,1989,1.67
Vipul,Polychroniou,1990,1.76
Harpreet,Ranganathan,1990,2.77
Alex,Thirunarayanan,1990,4.5
Harpreet,Shah,1990,2.77
Harpreet,Shah,1995,2.21
Vipul,Parekh,1965,1.67
Sandeep,Lamping,1990,1.87
Harpreet,Singh,1989,1.87
Andrew,Singh,2000,2.21
Alex,Lamping,1992,2.54
Andrew,Polychroniou,2012,1.76
Orestis,Polychroniou,1992,2.54
Orestis,Thirunarayanan,1989,3.54
Ashish,Parekh,1965,1.78
Sandeep,Chhabria,2000,1.76
Alex,Chhabria,1989,1.67
Jaimin,Singh,1992,1.78
Orestis,Polychroniou,1990,1.78
Harpreet,Polychroniou,1965,1.78
Andrew,Singh,1965,1.67
Ashish,Thirunarayanan,2000,1.76
Vipul,Shah,1995,1.78
Jaimin,Biliris,2000,1.78
Sandeep,Parekh,1902,1.67
Andrew,Lamping,1995,1.87
Dhaval,Ranganathan,2000,1.67
Orestis,Parekh,1901,2.54
Harpreet,Ranganathan,1989,2.54
Vipul,Ranganathan,2000,1.87
Ashish,Ranganathan,1989,2.54
Orestis,Biliris,1990,2.54
Harpreet,Singh,1990,3.54
Harpreet,Lamping,1995,1.78
Jaimin,Ranganathan,2012,2.21
Andrew,Shah,2000,2.77
Alex,Thirunarayanan,1995,1.87
Alex,Biliris,1995,3.54
Ashish,Shah,1965,2.21
Sandeep,Ranganathan,1965,1.67
Dhaval,Biliris,1995,1.87
Alex,Lamping,1965,3.54
Kanna,Chhabria,1901,1.87
Dhaval,Lamping,1989,1.67
Dhaval,Thirunarayanan,1995,2.77
Jaimin,Parekh,2000,2.54
Jaimin,Singh,2012,2.21
Dhaval,Singh,1965,1.76
Vipul,Biliris,2012,2.77
Vipul,Singh,1990,1.76
Alex,Shah,1902,1.78
Andrew,Singh,1965,1.76
Jaimin,Parekh,2000,2.21
Dhaval,Thirunarayanan,1901,3.54
Andrew,Biliris,1902,4.5
Kanna,Thirunarayanan,1992,3.54
Sandeep,Polychroniou,1992,3.54
Alex,Polychroniou,1901,2.77
Vipul,Ranganathan,2000,2.21
Orestis,Lamping,1965,2.77
Alex,Singh,1989,2.21
Ashish,Lamping,1902,4.5
Ashish,Singh,1990,1.76
Dhaval,Ranganathan,2000,1.76
Vipul,Parekh,2000,3.54
Alex,Chhabria,1989,2.77
Harpreet,Lamping,1992,1.76
Kanna,Singh,1990,1.67
Orestis,Biliris,1992,1.87
Sandeep,Ranganathan,1992,2.77
Andrew,Thirunarayanan,1990,1.87
Vipul,Thirunarayanan,1901,1.87
Sandeep,Singh,2012,4.5
Kanna,Chhabria,2000,1.78
Ashish,Biliris,1990,1.76
Sandeep,Parekh,1990,1.87
Alex,Singh,1992,2.21
Jaimin,Biliris,1902,1.78
Vipul,Lamping,2000,2.21
Kanna,Shah,2000,4.5
Ashish,Polychroniou,1989,3.54
Jaimin,Shah,1990,1.76
Harpreet,Lamping,1992,1.76
Vipul,Singh,1995,1.76
Dhaval,Singh,2012,3.54
Dhaval,Lamping,1995,1.76
Andrew,Shah,1901,2.54
Jaimin,Lamping,1990,4.5
Vipul,Chhabria,1992,3.54
Dhaval,Thirunarayanan,1901,1.78
Harpreet,Ranganathan,2012,1.67
Sandeep,Shah,1992,1.67
Vipul,Ranganathan,2000,2.54
Kanna,Biliris,2000,1.67
Alex,Lamping,1989,3.54
Andrew,Singh,2000,2.54
Harpreet,Parekh,1995,4.5
Sandeep,Parekh,1901,1.87
Andrew,Lamping,1992,4.5
Jaimin,Biliris,1902,1.78
Ashish,Polychroniou,1902,3.54
Andrew,Biliris,2000,2.54
Jaimin,Thirunarayanan,1995,2.77
Vipul,Ranganathan,1990,2.77
Dhaval,Chhabria,1965,2.54
Dhaval,Biliris,1992,1.87
Harpreet,Shah,1989,3.54
Sandeep,Parekh,1965,1.87
Kanna,Chhabria,1901,2.21
Alex,Shah,1990,3.54
Ashish,Chhabria,2000,1.76
Vipul,Singh,1902,2.77
Harpreet,Chhabria,1965,1.87
Harpreet,Shah,1901,2.54
Ashish,Singh,1965,3.54
Jaimin,Singh,1965,1.67
Vipul,Singh,1995,4.5
Harpreet,Polychroniou,1902,2.21
Kanna,Biliris,1989,4.5
Kanna,Polychroniou,1989,1.76
Andrew,Lamping,1995,2.77
Kanna,Singh,1989,2.21
Orestis,Thirunarayanan,1992,2.54
Andrew,Singh,1902,1.67
Harpreet,Ranganathan,1992,1.67
Alex,Parekh,1965,1.78
Andrew,Shah,1902,4.5
Dhaval,Singh,1992,1.67
Dhaval,Chhabria,1995,3.54
Sandeep,Chhabria,2000,2.54
Orestis,Thirunarayanan,1989,2.21
Jaimin,Polychroniou,1965,1.76
Ashish,Ranganathan,1992,2.54
Jaimin,Chhabria,2012,3.54
Andrew,Singh,1901,2.77
Harpreet,Singh,1965,1.78
Dhaval,Chhabria,1992,4.5
Dhaval,Singh,1995,2.54
Alex,Polychroniou,1989,4.5
Ashish,Singh,1992,1.87
Dhaval,Polychroniou,1965,1.87
Dhaval,Biliris,1901,2.21
Vipul,Lamping,1965,1.76
Alex,Polychroniou,1992,2.77
Orestis,Shah,1965,1.87
Andrew,Parekh,1995,2.54
Orestis,Chhabria,1989,2.77
Jaimin,Lamping,1995,2.54
Sandeep,Ranganathan,1990,1.78
Jaimin,Lamping,1989,1.78
Andrew,Lamping,1992,1.78
Harpreet,Ranganathan,1902,1.78
Andrew,Shah,1902,1.76
Andrew,Shah,1992,1.87
Vipul,Thirunarayanan,1965,2.54
Harpreet,Ranganathan,1902,2.77
Dhaval,Polychroniou,2012,1.87
Harpreet,Singh,1995,4.5
Harpreet,Biliris,1901,1.67
Vipul,Polychroniou,1902,1.78
Vipul,Singh,1965,2.21
Orestis,Singh,1989,4.5
Jaimin,Shah,1992,4.5
Vipul,Chhabria,2012,4.5
Vipul,Singh,1902,1.76
Ashish,Parekh,1990,2.77
Alex,Shah,2012,4.5
Orestis,Singh,1992,2.77
Ashish,Shah,1901,2.54
Orestis,Parekh,1990,2.21
Andrew,Singh,2000,1.87
Dhaval,Chhabria,1965,1.78
Jaimin,Parekh,1902,2.54
Ashish,Shah,1901,1.76
Andrew,Shah,1995,1.87
Vipul,Parekh,1902,2.77
Orestis,Parekh,2012,4.5
Vipul,Singh,1992,2.54
Kanna,Polychroniou,1901,1.87
Andrew,Chhabria,1965,1.67
Alex,Lamping,1902,2.77
Ashish,Ranganathan,2012,3.54
Orestis,Singh,2000,2.21
Vipul,Polychroniou,2000,2.21
Jaimin,Shah,1995,3.54
Ashish,Ranganathan,2000,1.76
Ashish,Shah,1989,3.54
Andrew,Biliris,1995,1.78
Orestis,Ranganathan,1995,1.87
Dhaval,Singh,1965,1.78
Andrew,Singh,1989,1.76
Vipul,Biliris,1990,4.5
Dhaval,Ranganathan,1992,1.67
Ashish,Singh,2000,1.67
Jaimin,Biliris,1995,1.87
Kanna,Singh,2012,4.5
Sandeep,Thirunarayanan,2012,4.5
Vipul,Shah,1995,2.21
Jaimin,Thirunarayanan,1965,4.5
Andrew,Chhabria,1965,3.54
Dhaval,Ranganathan,1965,1.78
Dhaval,Singh,1989,4.5
Kanna,Shah,1992,4.5
Alex,Parekh,1902,2.54
Jaimin,Lamping,1901,2.77
Ashish,Biliris,2012,1.67
Dhaval,Parekh,1901,2.54
Harpreet,Parekh,1901,2.54
Dhaval,Singh,2012,1.87
Ashish,Thirunarayanan,2000,3.54
Harpreet,Polychroniou,1989,2.77
Andrew,Shah,1990,3.54
Andrew,Polychroniou,2012,3.54
Vipul,Thirunarayanan,1995,2.21
Jaimin,Thirunarayanan,2000,2.21
Jaimin,Biliris,1902,2.77
Orestis,Ranganathan,1995,2.21
Sandeep,Thirunarayanan,1995,1.78
Sandeep,Parekh,1901,1.87
Kanna,Chhabria,1901,1.67
Sandeep,Singh,1901,1.76
Vipul,Shah,1901,2.54
Kanna,Parekh,1992,1.87
Vipul,Singh,2012,1.78
Dhaval,Shah,1901,1.78
Sandeep,Singh,1992,2.77
Sandeep,Thirunarayanan,2000,1.76
Sandeep,Singh,1990,2.21
Kanna,Singh,2012,3.54
Sandeep,Singh,2000,1.78
Sandeep,Lamping,1901,1.78
Dhaval,Biliris,2000,1.87
Ashish,Chhabria,2000,3.54
Orestis,Lamping,1965,2.54
Dhaval,Polychroniou,1990,3.54
Harpreet,Singh,1995,1.76
Harpreet,Ranganathan,1989,1.87
Alex,Polychroniou,1995,3.54
Orestis,Ranganathan,1965,1.76
Orestis,Polychroniou,1965,3.54
Sandeep,Shah,2000,1.78
Dhaval,Chhabria,1901,4.5
Dhaval,Lamping,1902,1.87
Harpreet,Singh,1990,2.54
Dhaval,Biliris,1992,2.54
Kanna,Polychroniou,1995,1.78
Andrew,Singh,1965,1.78
Alex,Chhabria,1965,2.77
Dhaval,Polychroniou,1902,2.21
Andrew,Ranganathan,1989,4.5
Vipul,Thirunarayanan,1965,1.67
Sandeep,Biliris,1995,1.78
Orestis,Thirunarayanan,1965,3.54
Kanna,Thirunarayanan,1990,2.77
Harpreet,Thirunarayanan,1995,2.77
Orestis,Polychroniou,2000,1.78
Sandeep,Thirunarayanan,2012,2.77
Kanna,Polychroniou,2012,1.78
Ashish,Polychroniou,2000,1.76
Ashish,Biliris,2000,4.5
Orestis,Polychroniou,1902,3.54
Kanna,Chhabria,1965,1.67
Vipul,Chhabria,1990,2.21
Sandeep,Thirunarayanan,1902,2.54
Vipul,Polychroniou,1965,1.76
Vipul,Parekh,1990,2.21
Sandeep,Parekh,1995,1.78
Dhaval,Biliris,1992,2.21
Jaimin,Ranganathan,1995,2.21
Harpreet,Polychroniou,1990,1.67
Alex,Biliris,1989,2.21
Jaimin,Lamping,2012,2.77
Andrew,Polychroniou,1989,4.5
Orestis,Thirunarayanan,1989,1.67
Kanna,Thirunarayanan,1902,4.5
Kanna,Singh,2012,2.54
Alex,Ranganathan,2000,1.67
Andrew,Polychroniou,1965,1.67
Kanna,Parekh,1965,2.21
Harpreet,Thirunarayanan,1995,1.87
Dhaval,Ranganathan,1992,2.21
Kanna,Shah,2000,1.78
Kanna,Parekh,2000,3.54
Harpreet,Thirunarayanan,1989,1.67
Kanna,Ranganathan,1990,2.77
Ashish,Singh,2000,1.87
Ashish,Polychroniou,1902,4.5
Ashish,Ranganathan,1965,3.54
Alex,Lamping,1992,3.54
Kanna,Lamping,2000,2.77
Ashish,Lamping,2012,1.87
Jaimin,Biliris,1992,4.5
Jaimin,Thirunarayanan,2000,1.78
Sandeep,Thirunarayanan,2012,1.67
Orestis,Thirunarayanan,1901,1.87
Ashish,Singh,1965,3.54
Ashish,Biliris,1902,3.54
Kanna,Shah,1990,1.87
Alex,Singh,1990,4.5
Sandeep,Shah,1989,1.87
Harpreet,Lamping,1989,2.77
Alex,Chhabria,1990,2.21
Harpreet,Lamping,1995,2.77
Kanna,Singh,2000,1.76
Kanna,Lamping,1965,1.67
